施設名,緯度,経度,所在地,電話番号,利用可能日,利用可能時間,授乳スペース,おむつ替えスペース,施設情報URL,休憩スペース
大阪市立都島図書館,34.7009321,135.5279799,大阪市都島区中野町2丁目16番25号,-,火曜日～日曜日　　  ,（火～金曜日）10:00～19:00、（土・日曜日）10:00～17:00,〇,×,-
コティ子育てひろば,34.722245,135.524753,大阪市都島区毛馬町２丁目11-34-101,-,月～金　　,9:00～15：00,〇,〇,-
大阪市福島区役所,34.6922656,135.4722934,大阪市福島区大開1-8-1,-,月曜日～金曜日　　　　,（月～木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
福島子育て支援センター,34.6979909,135.4714711,大阪市福島区海老江6-1-9,-,月曜日～金曜日　　,10:00～16:00,〇,〇,-
千日前線　野田阪神駅,34.6943932,135.4748623,大阪市福島区大開1丁目14番18号,-,毎日　　   ,5:00～24:00,×,〇,-
千日前線　玉川駅,34.6894485,135.4755289,大阪市福島区吉野3丁目1番5号,-,毎日　　   ,5:00～24:00,×,〇,-
福島区子ども・子育てプラザ,34.6980269,135.4715419,大阪市福島区海老江6-1-14,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
大阪市立福島区民センター,34.6914761,135.4731354,大阪市福島区吉野3-17-23,-,毎日　　　,9:30～21:30,〇,〇,-
大阪シティ信用金庫　福島支店,34.6858237,135.4787031,大阪市福島区野田2-1-80,-,月曜日～金曜日　　　,9:00～15:00,×,〇,-
つどいの広場　ふじまめっこルーム,34.7003608,135.475986,大阪市福島区海老江1丁目10番２号,-,月曜日～金曜日　　　　,9:00～12:00、12:30～14:00,〇,〇,-
イオンスタイル野田阪神,34.695441,135.475856,大阪市福島区海老江1-1-23,-,毎日　　　　,9:00～21:00,〇,〇,-
イオンスタイル海老江,34.6978146,135.4761196,大阪市福島区海老江1-5-32,-,毎日,9:00～22:00,〇,〇,-
大阪市此花区役所・保健福祉センター,34.6830695,135.4523554,大阪市此花区春日出北1-8-4,-,月曜日～金曜日　　　　,（月～木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
つどいの広場高見町,34.6911482,135.4578848,大阪市此花区高見3-1-4,-,月曜日～金曜日　　,10:00～16:00,〇,〇,-
大阪市立酉島保育所,34.6829792,135.4436813,大阪市此花区酉島1-18-19-101,-,月曜日～金曜日　　,10:00～16:00,〇,×,-
此花区子ども・子育てプラザ,34.6856269,135.4526972,大阪市此花区四貫島2-26-17,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
大阪市立此花区民ホール,34.6858445,135.4571928,大阪市此花区四貫島1-1-18,-,毎日　　　,9:30～21:30,×,〇,-
大阪市立男女共同参画センター西部館  大阪市立こども文化センター（クレオ大阪西・こども文化センター）,34.6818263,135.4633396,大阪市此花区西九条6-1-20,-,火曜日～日曜日　,9:00～21:30,×,〇,-
大阪市立此花図書館,34.685912,135.457111,大阪市此花区四貫島1丁目1番18号,-,火曜日～日曜日　　  ,（火～金曜日）10:00～19:00、（土・日曜日）10:00～17:00,〇,〇,-
大阪市中央区役所・保健福祉センター,34.681201,135.509885,大阪市中央区久太郎町1丁目2番27号,-,月曜日～金曜日,（月～木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
パパママカレッジ＆マタニティサロンＨugＭe（助産院はぐみ）,34.678574,135.4987463,大阪市中央区博労町4ー5-6　野上ビル2階,-,月曜日～日曜日　　,（月〜金曜日）9:00～16:00、（土・日曜日）10:00～16:00,〇,〇,-
心斎橋BIGSTEP,34.6722786,135.4987532,大阪市中央区西心斎橋1-6-14,-,月曜日～日曜日　　,11:00～20:00,〇,〇,-
中央子育て支援センター,34.68056,135.5165177,大阪市中央区農人橋1-1-2,-,月曜日～金曜日　　,10:00～16:00,〇,〇,-
御堂筋線　淀屋橋駅,34.692098,135.500971,大阪市中央区北浜3丁目6番14号,-,毎日　　   ,5:00～24:00,〇,〇,-
御堂筋線　本町駅,34.6837898,135.5003129,大阪市中央区本町4丁目1番15号,-,毎日　　   ,5:00～24:00,×,〇,-
御堂筋線　心斎橋駅,34.6747701,135.5003959,大阪市中央区心斎橋筋1丁目8番16号,-,毎日　　  ,5:00～24:00,〇,〇,-
